Typ argumentu (szeregowy lub równoleg³y),Konkluzja,Przes³anka 1,Przes³anka 2,Przes³anka 3,Przes³anka 4,Przes³anka 5,Przes³anka 6,Przes³anka 7,Przes³anka 8
,Rzuæ palenie,Ka¿dy rok palenia skraca ¿ycie o prawie trzy miesi¹ce.,,,,,,,
szeregowy,Szczepmy siê,"Mamy teraz do czynienia z koronawirusem typu delta, którego nie znaliœmy na pocz¹tku pandemii","[koronawirus typu delta] to wyj¹tkowo zakaŸna odmiana i osoby, które nie s¹ zaszczepione nara¿aj¹ siê na wyj¹tkowo ciê¿ki przebieg choroby",Teraz mamy w Polsce ju¿ szeœæ tysiêcy zaka¿eñ dziennie,W województwie lubelskim szpitale s¹ ju¿ na granicach wydolnoœci,,,,
szeregowy,"Unikaj dotykania oczu, nosa i ust","D³onie dotykaj¹ wielu powierzchni, które mog¹ byæ ska¿one wirusem.","Jeœli dotkniesz oczu, nosa lub ust zanieczyszczonymi rêkami, mo¿esz przenieœæ wirusa z powierzchni na siebie.",,,,,,
równoleg³y,B¹d¿ aktywny fizycznie i zdrowo siê od¿ywiaj,Regularna aktywnoœæ fizyczna jest kluczem do utrzymania naszego organizmu w zdrowiu.,"Nawet 3-godzinny spacer raz w tygodniu, zmniejsza umieralnoœæ o ok. 25-47\% oraz zmniejsza ryzyko choroby niedokrwiennej serca o ok. 30-50\%.",Wysi³ek fizyczny odgrywa istotn¹ rolê w zapobieganiu chorobom degeneracyjnym mózgu,Brak aktywnoœci fizycznej wi¹¿e siê z gorsz¹ jakoœci¹ ¿ycia oraz negatywnie wp³ywa na stan zdrowia.,Nieodpowiednia dieta oraz brak aktywnoœci fizycznej s¹ jedn¹ z przyczyn przedwczesnych zgonów,,,
równoleg³y,Noœ maskê.,Os³anianie twarzy chroni Ciebie i innych.,Maska zatrzymuje rozprzestrzenianie siê wirusa,Maska zmniejsza ryzyko infekcji o 75%,,,,,
szeregowy,Zrezygnuj z u¿ywek.,"Œwiatowa Organizacja Zdrowia (WHO) alarmuje, ¿e osoby pal¹ce s¹ bardziej nara¿one na komplikacje zwi¹zane zara¿eniem koronawirusem SARS-CoV-2.", Koronawirus atakuje drogi oddechowe i powoduje ich uszkodzenie.,Dym tytoniowy ma negatywny wp³yw na stan uk³adu oddechowego, U palaczy mog¹ wyst¹piæ ciê¿sze dolegliwoœci zwi¹zane z zara¿eniem koronawirusem.,,,,
,Zbadaj piersi,Powinnaœ co dwa lata badaæ swoje piersi.,Znowu w trasê ruszy³y mammobusy i dostêp do badañ jest teraz ³atwiejszy,Zbyt póŸno wykryty rak piersi zabija,,,,,
równoleg³y,Zostañ dawc¹ szpiku,Procedura pobierania szpiku nie boli i nie jest skomplikowana.,Dziêki dawcy biorca mo¿e wyzdrowieæ., Dziêki dawcy umieraj¹cy biorca dostaje szansê na wiêcej czasu spêdzonego z rodzin¹.,Donacja pozytywnie zmienia pogl¹d na œwiat biorcy i jest Ÿród³em dobrych emocji.,,,,
równoleg³y,Wykonuj rutynowe badania,"Czerniak to jeden z rzadziej wystêpuj¹cych, ale przy tym najbardziej niebezpieczny nowotwór skóry.",Powodzenie terapii zale¿y przede wszystkim od szybkiej diagnozy i wdro¿enia skutecznego leczenia.,,,,,,
szeregowy,Zwiêksz iloœæ ruchu,W redukcji wagi wa¿ny jest tak¿e ruch.,Wed³ug szacunków organizacji World Cancer Research Fund oko³o 20% przypadków nowotworów diagnozowanych w USA ma zwi¹zek z nisk¹ aktywnoœci¹ fizyczn¹ (wysok¹ mas¹ cia³a)i innymi b³êdami w stylu ¿ycia,,,,,,
szeregowy,Rzuæ palenie,G³ówna przyczyna wystêpowania ró¿nego rodzaju nowotworów, Jeden papieros zawiera (...) nawet 70 substancji rakotwórczych,,,,,,
szeregowy,Zmieñ swoje nawyki na zdrowsze., Gdyby ludzie wczeœniej decydowali siê na zmianê swojego niezdrowego stylu ¿ycia,,,,,,,
szeregowy,Zaszczep siê przeciwko COVID-19.,Przeszliœmy ju¿ tak wiele [podczas pandemii],,,,,,,
równoleg³y,Regularnie badaj swoje piersi.,Czas gra tutaj ogromn¹ rolê.,Nowotwór wczeœnie rozpoznany daje szansê na ca³kowite wyleczenie.,,,,,,
równoleg³y,Myj i dezynfekuj rêce.,"Higiena r¹k jest jednym z najskuteczniejszych dzia³añ ograniczaj¹cych rozprzestrzenianie siê patogenów i zapobiegaj¹cych infekcjom, w tym zaka¿eniom wirusem COVID-19",Mycie i dezynfekcja r¹k przyczyniaj¹ siê do poprawy bezpieczeñstwa opieki nad pacjentami.,Mycie i dezynfekcja r¹k zapobiegaj¹ zaka¿eniom na ró¿ne groŸne choroby zakaŸne.,,,,,
równoleg³y,Spoæ siê,"pot to zdrowy objaw, towarzysz¹cy aktywnoœci","[pot] oznacza, ¿e zrobiliœmy coœ dobrego dla naszego organizmu",,,,,,
szeregowy,Utrzymuj wagê cia³a w normie,Nadwaga prowadzi miêdzy innymi do zaburzeñ gospodarki lipidowej - podwy¿szonego poziomu trójglicerydów i obni¿enia poziomu dobrego cholesterolu HDL,"[zaburzenia gospodarki lipidowej] zwiêkszaj¹ ryzyko chorób uk³adu kr¹¿enia, w tym udaru",,,,,,
równoleg³y,"Nigdy, przenigdy nie dajemy innym osobom leków przeznaczonych dla nas",On [lek] jest bezpieczny dla nas,ka¿dy pacjent ma inn¹ historiê,tylko medyk jest w stanie oceniæ co i w jakich dawkach nale¿y przyjmowaæ,,,,,
równoleg³y,Oddychaj przez nos,"Wdychane powietrze, zostaje w naturalny sposób nawil¿one i oczyszczone w nosie","W trakcie mówienia bardzo szybko pobieramy powietrze ustami, przez co pomijamy drogê naturalnej ochrony, wysuszaj¹c œluzówkê",Konsekwencj¹ [oddychania przez usta] jest wiêksza podatnoœæ na ró¿nego rodzaju infekcje górnych dróg oddechowych,,,,,
szeregowy,Nie pij s³odkich napojów po wieczornym myciu zêbów,"Soki owocowe zawieraj¹ cukry proste, które s¹ doskona³¹ po¿ywk¹ dla bakterii","Bakterie, które rozwijaj¹ siê na powierzchni zêbów i dzi¹se³, prowadz¹ do rozwoju próchnicy",,,,,,
równoleg³y,Wykonuj regularnie morfologiê krwi.,Morfologia jest tania i ³atwo dostêpna.,Badanie to dostarcza bardzo wielu cennych informacji o stanie organizmu.,Morfologia umo¿liwia naprowadzenie diagnostyki na w³aœciwe tory.,Dziêki badaniu lekarz jest w stanie oceniæ skutki zastosowanego leczenia.,,,,
równoleg³y,Zaszczep siê przeciwko COVID-19.,Szczepi¹c siê chronisz siebie i swoich bliskich.,Szczepionki s¹ najbardziej skuteczn¹ metod¹ chroni¹c¹ przed zaka¿eniem.,Ludzkoœæ z powodzeniem korzysta ze szczepionek od kilkuset lat.,,,,,
równoleg³y,Izolacja by³a trudnym emocjonalnie czasem dla uczniów.,"U 75% dzieci czêœciej ni¿ wczeœniej zdarza³y siê negatywne reakcje emocjonalne – przejawy z³oœci, obra¿anie siê, nie przestrzeganie poleceñ czy zamykanie siê w sobie._x005F_x000D_","Ponad po³owa respondentów uzna³a, ¿e w okresie pandemii samopoczucie ich dziecka pogorszy³o siê._x005F_x000D_","Co czwarte dziecko (28%) przyzna³o, ¿e stale lub czêsto jest rozz³oszczone, co pi¹te odczuwa sta³e/czêste przygnêbienie, osamotnienie czy smutek.",,,,,
równoleg³y,Na nasz¹ kondycjê psychiczn¹ oraz poziom stresu w czasie pandemii wp³ynê³y przede wszystkim narzucone nam obostrzenia i ograniczenia.,"Restrykcje oraz zwi¹zane z nimi ograniczenia mia³y równie¿ ogromny wp³yw na nasze plany zwi¹zane z przysz³oœci¹ – a¿ po³owa z nas przyznaje, ¿e w czasie pandemii musia³a zrezygnowaæ ze spe³niania swoich marzeñ, realizowania pasji oraz osi¹gania celów, równie¿ zawodowych.","Najwiêkszym wyzwaniem jest jednak poprawa zdrowia fizycznego – a¿ 60% respondentów czuje, ¿e musi popracowaæ nad swoj¹ kondycj¹ i zdrowiem, przede wszystkim, wracaj¹c do aktywnoœci fizycznej.",,,,,,
szeregowy,"Platforma Facebook zagra¿a zdrowiu i dobrobytowi naszych obywateli, podkopuje demokracjê.","Kierownictwo firmy nie ujawnia wa¿nych informacji opinii publicznej, rz¹dowi USA, akcjonariuszom i rz¹dom na ca³ym œwiecie._x005F_x000D_","Dokumenty, które ujawni³am, dowodz¹, ¿e Facebook regularnie zwodzi³ nas w kwestii tego, co jasno wynika³o z jego w³asnych badañ o bezpieczeñstwie dzieci i jego roli w rozprzestrzenianiu nienawistnych i polaryzuj¹cych informacji.","Zdaniem Heugen ""kierownictwo firmy wie, jak zabezpieczyæ Facebook i Instagram, ale nie wprowadzaj¹ koniecznych zmian, poniewa¿ stawiaj¹ swoje ogromne zyski przed dobrem ludzi"".",,,,,
szeregowy,"W tej sytuacji powinieneœ zg³osiæ siê do pedagoga, psychologa szkolnego, wychowawcy lub nauczyciela.","Skorzystanie przez osobê z pomocy specjalisty -psychologa, psychiatry – wymaga zgody opiekuna prawnego.","Uwa¿asz, ¿e stan Twojego zdrowia wymaga pomocy.",Rodzice nie zgadzaj¹ siê na uzyskanie pomocy psychologicznej lub nie mog¹ dojœæ do porozumienia w tej sprawie.,,,,,
równoleg³y,Zadbaj o zdrowie swoje i najbli¿szych i zaszczep siê.,IV fala koronawirusa przybiera na sile. ,Dane wskazuj¹ ponad 15 tys. zachorowañ dziennie.,W ostatnim czasie wzros³a tak¿e liczba zgonów spowodowanych zaka¿eniem COVID-19.,Rosn¹ca liczba zaka¿eñ to zagro¿enie dla Ciebie i Twoich bliskich.,Prawie wszyscy chorzy i osoby zmar³e nie zaszczepili siê. ,,,
równoleg³y,Osoby zaszczepione oraz niezaszczepione z powodu przeciwwskazañ medycznych powinny – w razie potrzeby – otrzymaæ lek za darmo.,,,,,,,,
szeregowy,Nie przepracowuj siê.," Dla ludzkiego cia³a stresem fizycznym zwi¹zanym z przepracowaniem jest ma³a iloœæ snu, sen s³abej jakoœci, nieregularna i niedoborowa dieta, brak czasu na odpoczynek.
","Stres psychiczny i fizyczny zwiêksza wydzielanie katecholamin (adrenaliny i noradrenaliny) oraz kortyzolu.
","Wydzielanie katecholamin oraz kortyzolu wi¹¿e siê z nadciœnieniem, mia¿d¿yc¹ i zwielokrotnionym ryzykiem chorób uk³adu kr¹¿enia.
","Choroby uk³adu kr¹¿enia: incydenty sercowo-naczyniowe, w tym udary, zawa³y i SAH (krwotok podpajêczynówkowy) mog¹ prowadziæ do kiroshi - œmierci z przepracowania.
",,,,
szeregowy,Zaszczep siê przeciwko grypie.,"Grypê sezonow¹ najczêœciej wywo³uj¹ wirusy z podtypów H1N1, H3N1 i czasami H2N2.
","[Zaka¿enie wirusem z podtypów H1N1/H3N1/H2N2 powoduje] objawy: gor¹czkê, dreszcze, ból miêœni, g³owy, os³abienie, z³e samopoczucie, ból gard³a, suchy i mêcz¹cy kaszel.
","Powik³ania po zaka¿eniu wirusem z podtypów H1N1/H3N1/H2N2 obejmuj¹: zapalenie p³uc, anginê, zaostrzenie chorób przewlek³ych, zapalenie opon mózgowo-rdzeniowych i mózgu, poprzeczne zapalenie rdzenia krêgowego, zapalenie miêœni, zapalenie miêœnia sercowego, sepsê, niewydolnoœæ wielonarz¹dow¹.",,,,,
szeregowy,Zaszczep siê przeciwko COVID-19.,"Co 3. uczeñ cierpi z powodu izolacji.
",Uczniów mo¿e czekaæ powrót na naukê zdaln¹ w niedalekim czasie.,Dzieci s¹ szczêœliwe w szkole.,,,,,
równoleg³y,Badaj siê i lecz!,"Choroby przewlek³e, takie jak cukrzyca, choroby sercowo-naczyniowe, nowotwory czy choroby p³uc nie bêd¹ czekaæ na ust¹pienie pandemii.","Wczesna diagnostyka i kontynuacja leczenia s¹ kluczowe, by poprawiæ stan zdrowia pacjentów.",,,,,,
równoleg³y,Jedz mniej cukru,"Zbyt du¿a iloœæ cukru w diecie mo¿e nie tylko prowadziæ do oty³oœci, cukrzycy czy chorób serca, ale równie¿ przyczyniaæ siê do obni¿ania poziomu energii w ci¹gu dnia.",S³odka przek¹ska to tylko chwilowy zastrzyk energii.,"Pokarmy bogate w cukier powoduj¹ szybki wzrost poziomu cukru we krwi, a nastêpnie równie¿ szybki jego spadek.",,,,,
szeregowy,Wysypiaj siê!,Sen jest jedn¹ z najwa¿niejszych funkcji warunkuj¹cych jakoœæ naszego ¿ycia i zdrowia. ,"Wykazano, ¿e zarówno zbyt krótki sen, jak i pogorszenie jego jakoœci zaburzaj¹ gospodarkê wêglowodanow¹.",Jakoœciowy sen chroni przed oty³oœci¹ i cukrzyc¹.,,,,,
szeregowy,Ogranicz cukier!,S³odycze i wszystkie inne Ÿród³a cukru to g³ówny wróg Twojego zdrowia i sylwetki. ,Produkty z cukrem s¹ najczêstsz¹ przyczyn¹ zaburzeñ metabolicznych i niektórych rodzajów chorób nowotworowych.,,,,,,
szeregowy,Nie bój siê szczepionki,"Naukowcy przekonuj¹, ¿e szczepionki s¹ du¿o korzystniejsze dla zdrowia, ni¿ dotychczas s¹dzono.  ","Dziêki nim uk³ad odpornoœciowy zwalcza infekcje o wiele sprawniej ni¿ u osób, które nie zosta³y zaszczepione.",,,,,,
równoleg³y,"Polaku, myj rêce!","Ka¿de dotkniêcie klamki, banknotu czy porêczy w autobusie sprawia, ¿e na nasze rêce dostaje siê od 100 do 10 tys. komórek drobnoustrojów. ","Badania naukowców z Uniwersytetu Michigan udowodni³y, ¿e mycie r¹k wod¹ z myd³em przez 15 sekund redukuje liczbê groŸnych bakterii o 90 proc.","Œwiatowa Organizacja Zdrowia szacuje, ¿e 69 proc. zaka¿eñ przewodu pokarmowego to efekt niemycia r¹k ",,,,,
równoleg³y,Dbaj o mózg!," W Polsce z chorobami mózgu zmaga siê 15 mln ludzi, a liczba zachorowañ stale roœnie.","Przyczyn¹ jest najczêœciej zaawansowany wiek pacjentów, tymczasem spo³eczeñstwo, nie tylko w naszym kraju, coraz szybciej siê starzeje.",do zwiêkszenia zachorowalnoœci na choroby mózgu przyczyniaj¹ siê tak¿e zmiany cywilizacyjne - zaburzenia psychiczne i neurologiczne.,,,,,
,,,,,,,,,
szeregowy,¯yj zdrowo i badaj siê regularnie,Nadwaga i oty³oœæ maj¹ wp³yw na Twoje zdrowie.,Zwiêkszaj¹ m.in. ryzyko zachorowania na ró¿nego rodzaju nowotwory.,,,,,,
równoleg³y,Zaszczepmy siê,"Jeœli chcemy iœæ do restauracji, do kina",Przede wszystkim jeœli chcemy ¿yæ,,,,,,
równoleg³y,Szczepmy siê i noœmy maski.,"Chorzy zaszczepieni, owszem, choruj¹, ale choruj¹ du¿o du¿o l¿ej, i nie maj¹ tych ciê¿kich powik³añ.","Na naszym oddziale respiratorowym chorzy zaszczepieni owszem s¹, ale z powodu dekompensacji innych chorób.","Na oddziale tlenowym najciê¿ej covid i covidowe zapalenie p³uc przechodz¹ chorzy niezaszczepieni: 9 na 10 umiera, to s¹ ci, którzy s¹ niezaszczepieni w³aœnie.","W ten sposób [szczepi¹c siê i nosz¹c maski] chronimy i siebie, i innych, poniewa¿ nawet jeœli my przechodzimy w sposób w miarê bezobjawowy, to inna osoba starsza mo¿e przejœæ to ju¿ w sposób du¿o bardziej objawowy.",,,,
szeregowy,Skorzystaj z 3 dawki szczepionki,Nie wszystkie szczepionki zapewniaj¹ odpornoœæ na ca³e ¿ycie,W przypadku niektórych szczepieñ nabyta odpornoœæ z czasem maleje,,,,,,
równoleg³y,Zaszczep siê ,"Tylko szczepienia gwarantuj¹, ¿e nie zachorujemy na dan¹ chorobê lub przejdziemy j¹ ³agodniej",Tylko szczepienia gwarantuj¹ zniwelowanie ryzyka niebezpiecznych powik³añ.,Dziêki szczepieniom uda³o siê skutecznie wyeliminowaæ lub zmniejszyæ iloœæ zachorowañ na terenie Europy na wiele œmiertelnych chorób,,,,,
równoleg³y,Nie pal papierosów,Palenie papierosów odpowiada za niemal jedn¹ czwart¹ przedwczesnych zgonów z powodu nowotworów oraz chorób uk³adu sercowo-naczyniowego,Papierosy powoduj¹ oko³o 40% nowotworów u mê¿czyzn i 10% u kobiet,"Papierosy powoduj¹ przewlek³¹ obturacyjn¹ chorobê p³uc i mia¿d¿ycê zarostow¹ têtnic obwodowych, bêd¹c¹ g³ówn¹ przyczyn¹ amputacji nóg",Przez bierne palenie dochodzi w Polsce do 4-7 tysiêcy zgonów rocznie,,,,
równoleg³y,Nie bierz narkotyków,"Narkotyki wstrzymuj¹ dop³yw tlenu do mózgu, przez co obumieraj¹ szare komórki.","Przyjmowanie narkotyków mo¿e spowodowaæ zapalenie ¿y³ oraz zapalenie miêœnia sercowego, co mo¿e doprowadziæ do œmierci",Z powodu brania narkotyków w¹troba obumiera i przestaje funkcjonowaæ,"Narkotyki uszkadzaj¹ komórki rozrodcze, powoduj¹c trwa³e zmiany w chromosomach",,,,
szeregowy,Warto siê szczepiæ ,"Szczepienie uczy organizm cz³owieka, jak zareagowaæ na dany patogen.",Uk³ad odpornoœciowy zostaje pobudzony do produkcji przeciwcia³ oraz innych czynników odpornoœciowych,Dziêki szczepieniom po zetkniêciu siê z patogenem uk³ad immunologiczny jest w stanie silniej zareagowaæ i szybciej zneutralizowaæ zagro¿enie dla organizmu,,,,,
równoleg³y,Rzuæ palenie!,U¿ywanie tytoniu jest g³ówn¹ przyczyn¹ zachorowañ i zgonów z powodu chorób nowotworowych,"Wœród palaczy z nowotworem w obrêbie g³owy i szyi korygowane ogólne ryzyko œmierci jest o 2,5 razy wy¿sze ni¿ u niepal¹cych pacjentów.",W przypadku pacjentów onkologicznych palenie tytoniu zwiêksza ryzyko kolejnego nowotworu pierwotnego.,Uzale¿nienie od tytoniu u pacjentów onkologicznych utrudnia przygotowanie do operacji i komplikuje zabiegi chirurgiczne.,"20-letnie badania wykaza³y, ¿e na³óg tytoniowy obni¿a skutecznoœæ i tolerancjê radio- i chemioterapii.",,,
równoleg³y,Zbadaj piersi,"Rak piersi jest najczêœciej wystêpuj¹cym nowotworem u kobiet na œwiecie (25%) i najczêstsz¹ przyczyn¹ zgonu (14%), a chore na raka piersi stanowi¹ 36% kobiet ¿yj¹cych z nowotworami.",Decyduj¹ce znaczenie w kontekœcie profilaktyki i zapobiegania rozwojowi zaawansowanego nowotworu piersi ma jego diagnostyka i wczesne wykrycie (wtórna profilaktyka) oparta na regularnie przeprowadzanych badaniach mammograficznych (skrining).,,,,,,
szeregowy,Monitoruj cholesterol,"Jednym z modyfikowalnych czynników ryzyka choroby wieñcowej jest nadwaga i oty³oœæ, zw³aszcza typu brzusznego.",Pacjenci po zawale powinni utrzymywaæ prawid³ow¹ masê cia³a. ,,,,,,
równoleg³y,Zaszczep siê ,Nieszczepienie mo¿e skazaæ dzieci na naukê zdaln¹,Nieszczepienie mo¿e skazaæ dzieci na problemy spowodowane izolacj¹,,,,,,
szeregowy,Warto uprawiaæ sport,W czasie uprawiania sportu nasze cia³o produkuje endorfiny,"Endorfiny dzia³aj¹ podobnie do morfiny - wywo³uj¹ dobre samopoczucie, zadowolenie z siebie i inne stany euforyczne.",,,,,,
równoleg³y,Nie spo¿ywaj s³odkich napojów oraz s³odyczy,Cukier oraz napoje s³odkie nie dostarczaj¹ niezbêdnych sk³adników od¿ywczych,ich spo¿ywanie sprzyja powstawaniu nadmiernej masy cia³a,ponadto przyczyniaj¹ siê do rozwoju próchnicy,,,,,
szeregowy,Nie jedz kogla-mogla i jajka na miêkko w ci¹¿y,Kogel-mogel lub jajko na miêkko mo¿e byæ zaka¿one salmonell¹,Salmonella w ci¹¿y mo¿e byæ groŸna.,,,,,,
równoleg³y,"Nale¿y ograniczyæ sól w diecie, a nawet ca³kowicie j¹ wyeliminowaæ","Nadmierne spo¿ycie soli mo¿e prowadziæ do wielu powa¿nych chorób, takich jak: oty³oœæ, nadciœnienie têtnicze, udar mózgu, zawa³ serca czy rak ¿o³¹dka","Do tego powoduje wiêksze wydalanie wapnia z moczem, a w konsekwencji powstawanie kamieni nerkowych.","
",,,,,
szeregowy,nie pij wody alkalicznej w trakcie posi³ku,"W ¿o³¹dku, do którego trafia pokarm znajduje siê kwaœne œrodowisko, w którym woda zasadowa nie bêdzie czu³a siê najlepiej",Mo¿e to zaowocowaæ problemami i bólami ¿o³¹dka,,,,,,
równoleg³y,Zaszczepmy siê dawk¹ przypominaj¹c¹ szczepionki.,Przyjêcie dawki przypominaj¹cej wzmocni zdolnoœæ organizmu do walki z wirusem.,Pe³ne zaszczepienie siê znacz¹co zmniejsza ryzyko ciê¿kiej choroby.,,,,,,
równoleg³y,"Wykonaj ostatni krok, by pokonaæ pandemiê. Zaszczep siê!","Po szczepieniu Twój uk³ad immunologiczny odpowiada na szczepionkê, tworz¹c przeciwcia³a, które zwalczaj¹ dany wirus lub bakterie.","Dziêki szczepieniom zyskujemy ochronê przed ciê¿kim przebiegiem choroby i powik³aniami, które trudno przewidzieæ.",Dziêki szczepieniom ochronnym uda³o siê powstrzymaæ epidemie wielu groŸnych chorób.,,,,,
równoleg³y,Szczepmy siê przeciw Covid19.,"By z³agodziæ przebieg choroby, a mo¿e nawet uodporniæ organizm przed t¹ groŸn¹ chorob¹, mo¿na siê zaszczepiæ.","Im wiêcej osób bêdzie zaszczepionych, tym prawdopodobieñstwo przeniesienia wirusa bêdzie mniejsze.",,,,,,
szeregowy,Nie pij w ci¹¿y.,Rocznie w Polsce oko³o 9 tys. dzieci rodzi siê ze Spektrum P³odowych Zaburzeñ Alkoholowych.,[Spektrum P³odowych Zaburzeñ Alkoholowych jest] skutkiem dzia³ania alkoholu na p³ód w okresie prenatalnym.,,,,,,
szeregowy,Samobadanie [j¹der] wykonuj raz w miesi¹cu.,Regularne samobadanie j¹der pozwala na zauwa¿enie pierwszych objawów.,Regularne samobadanie j¹der pozwala na zauwa¿enie pierwszych objawów.,,,,,,
szeregowy,Zadbajmy o nasze zdrowie i skorzystajmy z zaproponowanej profilaktyki.,"Wiele chorób, zw³aszcza w swoim pocz¹tkowym stadium rozwoju, nie daje niepokoj¹cych objawów.",Dziêki badaniom diagnostycznym mo¿na je wykryæ na wczesnym etapie i unikn¹æ d³ugotrwa³ego leczenia.,,,,,,
szeregowy,Nie podawaj miodu dziecku poni¿ej roku.,Miód nie jest produktem wolnym od zanieczyszczeñ mikrobiologicznych - istnieje ryzyko ska¿enia laseczk¹ jadu kie³basianego.,"Organizm ma³ego dziecka nie jest w stanie poradziæ sobie z chorob¹ wywo³ywan¹ przez laseczkê jadu kie³basianego, zwan¹ botulizmem. ",Botulizm jest chorob¹ mog¹c¹ prowadziæ do œmierci i wymaga natychmiastowej pomocy lekarskiej.,,,,,
szeregowy,Poddaj siê profilaktycznym badaniom dermatoskopowym.,Nowotwory z³oœliwe skóry nale¿¹ do najliczniejszej grupy z³oœliwych chorób onkologicznych.,"Na ich rozwój silnie wp³ywaj¹ czynniki œrodowiskowe, przede wszystkim wystawienie skóry na promieniowanie s³oneczne.","Osoby, które maj¹ du¿o piegów i znamion, jasn¹ karnacjê, rude lub blond w³osy, s¹ nara¿one na wiêksze ryzyko zachorowania na czerniaka.",Wszelkie zmiany w istniej¹cych znamionach oraz pojawienie siê nowych znamion nale¿y zg³osiæ lekarzowi. ,,,,
